REF,DOMN,INV,MUSEO,STAT,DENO,APPL,TITR,AUTR,ROLE,PAUT,GENRE,ECOL,ATTR,PERI,MILL,EPOQ,MILU,PEOC,GENE,HIST,LIEUX,PLIEUX,GEOHI,LOCA_PROV,PERU,DECV,PDEC,UTIL,PUTI,TECH,DIMS,INSC,PINS,ONOM,DESC,REPR,PREP,DREP,SREP,DACQ,APTN,DEPO,DDPT,ADPT,DATION,MANQUANT,MANQUANT_COM,COMM,EXPO,BIBL,DMIS,DMOIS,DMAJ,REDA,PHOT,DATA,LOCA3,IA,REFPAL,REFMEM,REFMER,REGION,DPT,VILLE_M,NOMOFF,LOCA,custom_LOCA
Référence de la notice,Domaine,Numéro d'inventaire,Lien Muséofile,Statut juridique,Dénomination,Appellation,Titre,Auteur,Rôle,Précisions sur l'auteur,Genre du ou des auteurs,École (pays),Anciennes attributions,Période de création,Millésime de création,Époque,Millésime d'utilisation,Période de l'original copié,Genèse,Historique,Lieu de création / utilisation,"Précisions sur le lieu de création, d'exécution ou d'utilisation",Lieu historique,Provenance du bien,Période d'utilisation,Découverte / collecte,Précisions sur la découverte ou la collecte,Utilisation / destination,Précisions sur l'utilisation,Matériaux et techniques,Mesures,Inscriptions,Précisions sur les inscriptions,Onomastique,Description,Sujet représenté,Précisions sur le sujet représenté,Date du sujet représenté,Source de la représentation,Date d'acquisition,Anciennes appartenances,Lieu de dépôt,Date de dépôt,Ancien dépôt,Dation,Situation particulière,Précisions sur une situation particulière,Commentaires,Exposition,Bibliographie,Date de création,Date de moissonnage de la notice,Date de mise à jour,Rédacteur de la notice,Crédits photographiques,Artiste sous droits,Année d'entrée dans le domaine public,Droits de reproduction et de représentation,Références Palissy liées,Références Mémoire liées,Références Mérimée liées,Région,Département,Ville,Nom du musée,Localisation,Lieu de conservation
M1114240010050,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2008.0.14.10,M1114,,illustration de livre,,"Notre-Dame de Paris, livre II, chapitre VII : Une nuit de noces; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842; Furne 1840-1846",Finden William (1787-1852) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Eau-forte ; Gravure sur acier,Hauteur 7.8 cm ; Largeur 10.8 cm ; Hauteur 12.4 cm ; Largeur 14.7 cm ; Hauteur 17.8 cm ; Largeur 27.7 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010051,estampe ; arts graphiques,2010.0.75.5,M1114,,estampe,,"Notre-Dame de Paris, livre VIII, chapitre VII : Trois cœurs d'homme faits différemment; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Finden William (1787-1852) ; Rogier Camille (1810-1896) ; Chardon François-Joseph (dit Chardon aîné) (1797-1868) ; Furne Charles (1794-1859),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.4 cm ; Largeur 7.7 cm ; Hauteur 15.3 cm ; Largeur 11.7 cm ; Hauteur 22.3 cm ; Largeur 14.7 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010054,estampe ; arts graphiques,2010.0.75.6,M1114,,estampe,,"Notre-Dame de Paris, livre VIII, chapitre VII : Trois cœurs d'homme faits différemment; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Finden William (1787-1852) ; Rogier Camille (1810-1896) ; Chardon François-Joseph (dit Chardon aîné) (1797-1868) ; Furne Charles (1794-1859),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.3 cm ; Largeur 7.8 cm ; Hauteur 15.2 cm ; Largeur 11.7 cm ; Hauteur 23.4 cm ; Largeur 17.7 cm ; Hauteur 22.3 cm ; Largeur 14.7 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010057,estampe ; arts graphiques,2010.0.75.7,M1114,,estampe,,"Notre-Dame de Paris, livre VIII, chapitre VII : Trois cœurs d'homme faits différemment; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Furne; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Finden William (1787-1852) ; Rogier Camille (1810-1896) ; Chardon François-Joseph (dit Chardon aîné) (1797-1868) ; Furne Charles (1794-1859),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.3 cm ; Largeur 7.8 cm ; Hauteur 23.2 cm ; Largeur 17.2 cm ; Hauteur 22.3 cm ; Largeur 14.7 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010058,estampe ; arts graphiques,2008.0.19.1,M1114,,estampe,,"Notre-Dame de Paris, livre IX, chapitre III : Sourd; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.8 cm ; Hauteur 22.8 cm ; Largeur 16.9 cm ; Hauteur 30.5 cm ; Largeur 19.9 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010059,estampe ; arts graphiques,2008.0.19.2,M1114,,estampe,,"Notre-Dame de Paris, livre IX, chapitre III : Sourd; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.8 cm ; Hauteur 18.5 cm ; Largeur 12.7 cm ; Hauteur 23.2 cm ; Largeur 18 cm ; Hauteur 30.5 cm ; Largeur 19.9 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010061,estampe ; arts graphiques,2008.0.19.3,M1114,,estampe,,"[Notre-Dame de Paris, livre IX, chapitre III] Sourd; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.8 cm ; Hauteur 23.2 cm ; Largeur 17.4 cm ; Hauteur 29.8 cm ; Largeur 21.3 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010066,estampe ; arts graphiques,2008.0.19.5,M1114,,estampe,,"Notre-Dame de Paris, livre IX, chapitre III : Sourd; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.8 cm ; Hauteur 18.6 cm ; Largeur 12.9 cm ; Hauteur 23.2 cm ; Largeur 17.5 cm ; Hauteur 28.8 cm ; Largeur 20.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010067,estampe ; arts graphiques,2008.0.19.6,M1114,,estampe,,"Notre-Dame de Paris, livre IX, chapitre III : Sourd; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.9 cm ; Largeur 7.8 cm ; Hauteur 23.6 cm ; Largeur 17.8 cm ; Hauteur 28.5 cm ; Largeur 20.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010071,estampe ; arts graphiques,2008.0.19.9,M1114,,estampe,,"[Notre-Dame de Paris, livre IX, chapitre III] Sourd; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.7 cm ; Largeur 7.8 cm ; Hauteur 23.5 cm ; Largeur 17.5 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010074,estampe ; arts graphiques,2008.0.19.10,M1114,,estampe,,"[Notre-Dame de Paris, livre IX, chapitre III] Sourd; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Furne; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Finden Edward (1791-1857) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Furne Charles (1794-1859),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.8 cm ; Hauteur 22.3 cm ; Largeur 14.8 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010077,estampe ; arts graphiques,2008.0.20.1,M1114,,estampe,,"Notre-Dame de Paris, livre X, chapitre IV : Un maladroit ami; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Phillibrown ou Phillibrocon Thomas (-) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.8 cm ; Hauteur 22.5 cm ; Largeur 16 cm ; Hauteur 23.5 cm ; Largeur 17.8 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010079,estampe ; arts graphiques,2008.0.20.2,M1114,,estampe,,"Notre-Dame de Paris, livre X, chapitre IV : Un maladroit ami; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Phillibrown ou Phillibrocon Thomas (-) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.6 cm ; Hauteur 18.2 cm ; Largeur 13.2 cm ; Hauteur 23.2 cm ; Largeur 17.8 cm ; Hauteur 28.2 cm ; Largeur 19.8 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010080,estampe ; arts graphiques,2008.0.20.3,M1114,,estampe,,"[Notre-Dame de Paris, livre X, chapitre IV] Un maladroit ami; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Phillibrown ou Phillibrocon Thomas (-) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.8 cm ; Hauteur 24.2 cm ; Largeur 15.8 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010084,estampe ; arts graphiques,2008.0.20.5,M1114,,estampe,,"Notre-Dame de Paris, livre X, chapitre IV : Un maladroit ami; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Phillibrown ou Phillibrocon Thomas (-) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.7 cm ; Largeur 7.6 cm ; Hauteur 23 cm ; Largeur 17.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010085,estampe ; arts graphiques,2008.0.20.6,M1114,,estampe,,"Notre-Dame de Paris, livre X, chapitre IV : Un maladroit ami; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Phillibrown ou Phillibrocon Thomas (-) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.6 cm ; Hauteur 23.2 cm ; Largeur 17.7 cm ; Hauteur 28.3 cm ; Largeur 20.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010087,estampe ; arts graphiques,2008.0.20.7,M1114,,estampe,,"Notre-Dame de Paris, livre X, chapitre IV : Un maladroit ami; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Phillibrown ou Phillibrocon Thomas (-) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.8 cm ; Hauteur 23.5 cm ; Largeur 17.5 cm ; Hauteur 28.8 cm ; Largeur 20.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010088,estampe ; arts graphiques,2008.0.20.8,M1114,,estampe,,"Notre-Dame de Paris, livre X, chapitre IV : Un maladroit ami; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Phillibrown ou Phillibrocon Thomas (-) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.7 cm ; Hauteur 23.4 cm ; Largeur 17.5 cm ; Hauteur 28.2 cm ; Largeur 20.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010091,estampe ; arts graphiques,2008.0.20.10,M1114,,estampe,,"[Notre-Dame de Paris, livre X, chapitre IV] Un maladroit ami; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Furne; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Phillibrown ou Phillibrocon Thomas (-) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Furne Charles (1794-1859),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.8 cm ; Hauteur 22.3 cm ; Largeur 15 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010093,estampe ; arts graphiques,2008.0.20.11,M1114,,estampe,,"[Notre-Dame de Paris, livre X, chapitre IV] Un maladroit ami; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Phillibrown ou Phillibrocon Thomas (-) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.8 cm ; Hauteur 24.7 cm ; Largeur 16 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010096,estampe ; arts graphiques,2008.0.20.12,M1114,,estampe,,"[Notre-Dame de Paris, livre X, chapitre IV] Un maladroit ami; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Furne; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Phillibrown ou Phillibrocon Thomas (-) ; Johannot Antoine (dit Tony Johannot) (1803-1852) ; Furne Charles (1794-1859),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.8 cm ; Largeur 7.8 cm ; Hauteur 18.3 cm ; Largeur 13.8 cm ; Hauteur 21.4 cm ; Largeur 16.8 cm ; Hauteur 29.4 cm ; Largeur 20.6 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010098,estampe ; arts graphiques,2008.0.21.1,M1114,,estampe,,"Notre-Dame de Paris, livre X, chapitre V : Le retrait où dit ses heures Monsieur Louis de France; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Periam G.A. (-) ; Rogier Camille (1810-1896) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.3 cm ; Largeur 7.8 cm ; Hauteur 22.2 cm ; Largeur 16.8 cm ; Hauteur 23.4 cm ; Largeur 17.8 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010100,estampe ; arts graphiques,2008.0.21.2,M1114,,estampe,,"Notre-Dame de Paris, livre X, chapitre V : Le retrait où dit ses heures Monsieur Louis de France; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Periam G.A. (-) ; Rogier Camille (1810-1896) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.3 cm ; Largeur 7.8 cm ; Hauteur 18.2 cm ; Largeur 13 cm ; Hauteur 23 cm ; Largeur 17.5 cm ; Hauteur 28.2 cm ; Largeur 19.8 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010102,estampe ; arts graphiques,2008.0.21.3,M1114,,estampe,,"Notre-Dame de Paris, livre X, chapitre V : Le retrait où dit ses heures Monsieur Louis de France; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Periam G.A. (-) ; Rogier Camille (1810-1896) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.3 cm ; Largeur 7.8 cm ; Hauteur 23.2 cm ; Largeur 17.5 cm ; Hauteur 28.5 cm ; Largeur 19.8 cm ; Hauteur 53 cm ; Largeur 38 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010105,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2017.0.2446.2,M1114,,illustration de livre,,"15 [Notre-Dame de Paris, Livre VI, chapitre IV]; Illustration pour ""Notre-Dame de Paris"", Edition Hébert pour l'édition définitive Hetzel-Quantin; Illustration des Œuvres complètes de Victor Hugo (édition définitive Hetzel-Quantin) : suite de 100 dessins de François Flameng. Paris : L. Hébert, (s. d.)",Mongin Augustin (1843-1911) ; Flameng François (1856-1923) ; Ch. Chardon (imprimerie) (-) ; Hébert L. (-),,,,,,4e quart du 19e siècle,Vers 1885,,,,,,,,,,,,,,,Eau-forte,Hauteur 12.7 cm ; Largeur 8.8 cm ; Hauteur 11.8 cm ; Largeur 17.2 cm ; Hauteur 30.2 cm ; Largeur 21.7 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010106,"estampe ; manuscrits, imprimés, reliure ; arts graphiques",2017.0.2446.1,M1114,,illustration de livre,,"15 [Notre-Dame de Paris, Livre VI, chapitre IV]; Illustration pour ""Notre-Dame de Paris"", Edition Hébert pour l'édition définitive Hetzel-Quantin; Illustration des Œuvres complètes de Victor Hugo (édition définitive Hetzel-Quantin) : suite de 100 dessins de François Flameng. Paris : L. Hébert, (s. d.)",Mongin Augustin (1843-1911) ; Flameng François (1856-1923) ; Ch. Chardon (imprimerie) (-) ; Hébert L. (-),,,,,,4e quart du 19e siècle,Vers 1885,,,,,,,,,,,,,,,Eau-forte,Hauteur 12.9 cm ; Largeur 8.8 cm ; Hauteur 17.3 cm ; Largeur 11.8 cm ; Hauteur 36.2 cm ; Largeur 27.4 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
M1114240010107,estampe ; arts graphiques,2008.0.21.5,M1114,,estampe,,"Notre-Dame de Paris, livre X, chapitre V : Le retrait où dit ses heures Monsieur Louis de France; Illustration pour ""Notre-Dame de Paris"" dans l'Edition Renduel; Œuvres de Victor Hugo. Paris : E.Renduel 1832-1842 ; Furne 1840-1846",Periam G.A. (-) ; Rogier Camille (1810-1896) ; Renduel Eugène (1798-1874),,,,,,2e quart du 19e siècle,En 1836,,,,,,,,,,,,,,,Gravure sur acier,Hauteur 10.2 cm ; Largeur 7.6 cm ; Hauteur 22.8 cm ; Hauteur 17 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Maisons de Victor Hugo Paris-Guernesey,,,,,,,Île-de-France,Paris,Paris,maison de Victor Hugo,Maison de Victor Hugo - Hauteville House,Paris ; maison de Victor Hugo
